XD,TimeStamp,travel_time_seconds
448838574.0,2022-09-27 09:00:00,25.705
448838574.0,2022-09-27 10:00:00,23.1175
448838574.0,2022-09-27 11:00:00,25.0225
448838574.0,2022-09-27 12:00:00,26.225
448838574.0,2022-09-27 13:00:00,27.39
448838574.0,2022-09-27 14:00:00,28.2675
448838574.0,2022-09-27 15:00:00,35.475
448838574.0,2022-09-27 16:00:00,32.3075
448838574.0,2022-09-27 17:00:00,51.4
448838574.0,2022-09-27 18:00:00,25.26
448838574.0,2022-09-27 19:00:00,88.685
448838574.0,2022-09-28 06:00:00,21.095001
448838574.0,2022-09-28 07:00:00,23.605
448838574.0,2022-09-28 08:00:00,24.445
448838574.0,2022-09-28 09:00:00,24.0775
448838574.0,2022-09-28 10:00:00,26.465
448838574.0,2022-09-28 11:00:00,26.0
448838574.0,2022-09-28 12:00:00,26.6225
448838574.0,2022-09-28 13:00:00,26.470001
448838574.0,2022-09-28 14:00:00,29.835
448838574.0,2022-09-28 15:00:00,30.6825
448838574.0,2022-09-28 16:00:00,37.285
448838574.0,2022-09-28 17:00:00,48.622498
448838574.0,2022-09-28 18:00:00,27.4525
448838574.0,2022-09-28 19:00:00,27.7375
448838574.0,2022-09-29 06:00:00,24.885
448838574.0,2022-09-29 07:00:00,23.795
448838574.0,2022-09-29 08:00:00,24.0125
448838574.0,2022-09-29 09:00:00,25.8525
448838574.0,2022-09-29 10:00:00,23.74
448838574.0,2022-09-29 11:00:00,23.8775
448838574.0,2022-09-29 12:00:00,27.115
448838574.0,2022-09-29 13:00:00,25.5525
448838574.0,2022-09-29 14:00:00,25.7675
448838574.0,2022-09-29 15:00:00,37.0375
448838574.0,2022-09-29 16:00:00,40.15
448838574.0,2022-09-29 17:00:00,38.5625
448838574.0,2022-09-29 18:00:00,27.7225
448838574.0,2022-09-29 19:00:00,99.4075
448838574.0,2022-09-30 06:00:00,20.61
448838574.0,2022-09-30 07:00:00,24.31
448838574.0,2022-09-30 08:00:00,24.51
448838574.0,2022-09-30 09:00:00,26.1325
448838574.0,2022-09-30 10:00:00,23.942501
448838574.0,2022-09-30 11:00:00,26.395
448838574.0,2022-09-30 12:00:00,24.9725
448838574.0,2022-09-30 13:00:00,27.029999
448838574.0,2022-09-30 14:00:00,30.54
448838574.0,2022-09-30 15:00:00,36.8375
448838574.0,2022-09-30 16:00:00,37.53
448838574.0,2022-09-30 17:00:00,36.51
448838574.0,2022-09-30 18:00:00,26.8725
448838574.0,2022-09-30 19:00:00,93.8325
448838574.0,2022-10-01 06:00:00,19.5225
448838574.0,2022-10-01 07:00:00,20.4575
448838574.0,2022-10-01 08:00:00,23.6775
448838574.0,2022-10-01 09:00:00,24.1775
448838574.0,2022-10-01 10:00:00,25.1875
448838574.0,2022-10-01 11:00:00,29.17
448838574.0,2022-10-01 12:00:00,25.997501
448838574.0,2022-10-01 13:00:00,23.28
448838574.0,2022-10-01 14:00:00,27.265
448838574.0,2022-10-01 15:00:00,26.0875
448838574.0,2022-10-01 16:00:00,24.0825
448838574.0,2022-10-01 17:00:00,24.7025
448838574.0,2022-10-01 18:00:00,25.59
448838574.0,2022-10-01 19:00:00,25.32
448838574.0,2022-10-02 06:00:00,19.405
448838574.0,2022-10-02 07:00:00,22.5825
448838574.0,2022-10-02 08:00:00,20.835
448838574.0,2022-10-02 09:00:00,22.592499
448838574.0,2022-10-02 10:00:00,23.3425
448838574.0,2022-10-02 11:00:00,22.9175
448838574.0,2022-10-02 12:00:00,23.467499
448838574.0,2022-10-02 13:00:00,26.35
448838574.0,2022-10-02 14:00:00,25.71
448838574.0,2022-10-02 15:00:00,25.1125
448838574.0,2022-10-02 16:00:00,22.97
448838574.0,2022-10-02 17:00:00,24.285
448838574.0,2022-10-02 18:00:00,23.3775
448838574.0,2022-10-02 19:00:00,23.34
448838574.0,2022-10-03 06:00:00,20.1125
448838574.0,2022-10-03 07:00:00,24.2625
448838574.0,2022-10-03 08:00:00,24.17
448838574.0,2022-10-03 09:00:00,22.682499
448838574.0,2022-10-03 10:00:00,22.94
448838574.0,2022-10-03 11:00:00,25.0
448838574.0,2022-10-03 12:00:00,26.31
448838574.0,2022-10-03 13:00:00,26.875
448838574.0,2022-10-03 14:00:00,27.5475
448838574.0,2022-10-03 15:00:00,32.4825
448838574.0,2022-10-03 16:00:00,33.9075
448838574.0,2022-10-03 17:00:00,49.965
448838574.0,2022-10-03 18:00:00,25.725
448838574.0,2022-10-03 19:00:00,23.86
448838574.0,2022-10-04 06:00:00,21.6025
448838574.0,2022-10-04 07:00:00,23.535
448838574.0,2022-10-04 08:00:00,21.915
448838574.0,2022-10-04 09:00:00,25.3625
448838574.0,2022-10-04 10:00:00,22.075
448838574.0,2022-10-04 11:00:00,24.7575
448838574.0,2022-10-04 12:00:00,24.147501
448838574.0,2022-10-04 13:00:00,23.9675
448838574.0,2022-10-04 14:00:00,26.4925
448838574.0,2022-10-04 15:00:00,36.9825
448838574.0,2022-10-04 16:00:00,38.2375
448838574.0,2022-10-04 17:00:00,36.55
448838574.0,2022-10-04 18:00:00,29.095001
448838574.0,2022-10-04 19:00:00,24.4575
448838574.0,2022-10-05 06:00:00,20.72
448838574.0,2022-10-05 07:00:00,22.99
448838574.0,2022-10-05 08:00:00,25.8275
448838574.0,2022-10-05 09:00:00,27.5475
448838574.0,2022-10-05 10:00:00,25.435
448838574.0,2022-10-05 11:00:00,27.67
448838574.0,2022-10-05 12:00:00,23.685
448838574.0,2022-10-05 13:00:00,25.9425
448838574.0,2022-10-05 14:00:00,27.11
448838574.0,2022-10-05 15:00:00,36.8725
448838574.0,2022-10-05 16:00:00,37.7425
448838574.0,2022-10-05 17:00:00,35.985
448838574.0,2022-10-05 18:00:00,28.0925
448838574.0,2022-10-05 19:00:00,24.07
448838574.0,2022-10-06 06:00:00,20.0875
448838574.0,2022-10-06 07:00:00,26.15
448838574.0,2022-10-06 08:00:00,26.275
448838574.0,2022-10-06 09:00:00,22.3275
448838574.0,2022-10-06 10:00:00,23.189999
448838574.0,2022-10-06 11:00:00,23.630001
448838574.0,2022-10-06 12:00:00,26.2775
448838574.0,2022-10-06 13:00:00,25.385
448838574.0,2022-10-06 14:00:00,28.565
448838574.0,2022-10-06 15:00:00,28.6525
448838574.0,2022-10-06 16:00:00,43.97
448838574.0,2022-10-06 17:00:00,41.9875
448838574.0,2022-10-06 18:00:00,34.2375
448838574.0,2022-10-06 19:00:00,25.75
448838574.0,2022-10-07 06:00:00,20.9825
448838574.0,2022-10-07 07:00:00,23.9625
448838574.0,2022-10-07 08:00:00,25.6325
448838574.0,2022-10-07 09:00:00,22.955
448838574.0,2022-10-07 10:00:00,24.537498
448838574.0,2022-10-07 11:00:00,24.7025
448838574.0,2022-10-07 12:00:00,26.2675
448838574.0,2022-10-07 13:00:00,29.23
448838574.0,2022-10-07 14:00:00,29.9725
448838574.0,2022-10-07 15:00:00,36.385
448838574.0,2022-10-07 16:00:00,36.66
448838574.0,2022-10-07 17:00:00,32.63
448838574.0,2022-10-07 18:00:00,29.9675
448838574.0,2022-10-07 19:00:00,83.165
448838574.0,2022-10-08 06:00:00,19.75
448838574.0,2022-10-08 07:00:00,20.01
448838574.0,2022-10-08 08:00:00,22.895
448838574.0,2022-10-08 09:00:00,21.3275
448838574.0,2022-10-08 10:00:00,24.1375
448838574.0,2022-10-08 11:00:00,26.5475
448838574.0,2022-10-08 12:00:00,26.682499
448838574.0,2022-10-08 13:00:00,24.695
448838574.0,2022-10-08 14:00:00,26.412498
448838574.0,2022-10-08 15:00:00,23.845
448838574.0,2022-10-08 16:00:00,26.994999
448838574.0,2022-10-08 17:00:00,24.1525
448838574.0,2022-10-08 18:00:00,22.79
448838574.0,2022-10-08 19:00:00,25.2875
448838574.0,2022-10-09 06:00:00,18.4025
